GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
 "05000","Arkansas",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",5128531,5626520,6263108,7071222,8376080,9353548,10292084,11378923,12661751,14668793,16087967,17388327,19702622,20702260,21934843,24458419,25982324,27303655,28434832,30505873,32721188,34457542,36459059,39714351,41648441,44288614,47164713,50047865,52507955,55736104,57973395,60969882,64168146,65661550,69547372,74032960,78000339,83068247,88508301,91812120,90246011,93290459,99571455,106984715,107240690,113545501,117180599,120059514,124683752,130296677
 "05000","Arkansas",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",1913000,1930077,1972028,2018116,2058491,2100385,2158291,2168688,2207228,2241019,2269115,2288738,2293204,2294254,2305766,2319767,2327046,2331988,2342357,2342655,2346354,2356586,2383144,2415984,2456303,2494019,2535399,2572109,2601090,2626289,2651860,2678588,2691571,2705927,2724816,2749686,2781097,2821761,2848650,2874554,2896843,2921978,2940407,2952109,2959549,2967726,2978407,2990410,3002997,3013825
 "05000","Arkansas",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2681,2915,3176,3504,4069,4453,4769,5247,5736,6546,7090,7597,8592,9024,9513,10543,11165,11708,12139,13022,13946,14622,15299,16438,16956,17758,18602,19458,20187,21222,21861,22762,23840,24266,25524,26924,28047,29438,31070,31940,31153,31927,33863,36240,36235,38260,39343,40148,41520,43233
 "05001","Arkansas, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",72980,83943,84681,95604,135675,160713,142510,147381,150935,208000,195473,196273,234699,237040,241090,268944,271604,277148,269854,299887,304956,315884,324603,359364,374874,392855,428317,454254,458995,474294,484127,477965,493533,481207,545709,582416,540700,573868,595994,640201,655985,648757,688776,727475,784675,763613,749701,793930,782809,804751
 "05001","Arkansas, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",23393,23311,23328,23170,23590,23695,23874,24218,23869,24425,24126,24191,24203,24114,23835,23398,23012,22573,22174,21847,21705,21666,21536,21479,21310,21199,21128,21134,20975,20896,20966,20776,20593,20351,19981,19967,19954,19785,19434,19275,19134,19011,18872,18962,18754,18476,18325,18145,17904,17769
 "05001","Arkansas, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",3120,3601,3630,4126,5751,6783,5969,6086,6323,8516,8102,8113,9697,9830,10115,11494,11803,12278,12170,13727,14050,14580,15073,16731,17591,18532,20272,21494,21883,22698,23091,23006,23966,23645,27311,29169,27097,29005,30668,33214,34284,34125,36497,38365,41840,41330,40911,43755,43723,45290
 "05003","Ashley, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",62705,71989,78985,83547,100496,108751,117136,133653,150355,177871,192226,195674,227838,226509,236559,274044,280320,271464,290511,306715,315155,330773,360507,386915,395981,430618,446758,463954,488829,511820,516753,525843,515331,511141,546275,547681,568548,590658,605372,601124,607474,644001,684492,679346,682295,647169,665512,672036,673612,697864
 "05003","Ashley, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",24963,25015,25440,25642,25481,25478,25832,26164,26625,26946,26748,26607,26829,26273,25971,26045,26088,25401,25176,24930,24582,24283,24447,24565,24647,24556,24475,24417,24365,24359,24261,24179,23824,23745,23469,23156,22770,22501,22229,22148,21920,21828,21671,21516,21278,20959,20838,20525,20319,20046
 "05003","Ashley, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2512,2878,3105,3258,3944,4268,4535,5108,5647,6601,7187,7354,8492,8621,9109,10522,10745,10687,11539,12303,12821,13622,14746,15751,16066,17536,18254,19001,20063,21012,21300,21748,21631,21526,23276,23652,24969,26250,27233,27141,27713,29503,31586,31574,32066,30878,31937,32742,33152,34813
 "05005","Baxter, AR",5,CAINC1,1,"...","Personal income (thousands of dollars)","Thousands of dollars",39657,45640,53900,62406,77791,92138,107903,127813,144592,165424,183403,217650,250134,271232,298745,325597,351618,384987,393915,414465,452094,474094,509848,550131,590385,624522,673895,708603,752412,802968,816899,853879,875542,906001,925700,970199,1034685,1131360,1207811,1221171,1190623,1200749,1240298,1312588,1300065,1382731,1411023,1419942,1471558,1544321
 "05005","Baxter, AR",5,CAINC1,2,"...","Population (persons) 1/","Number of persons",14798,15525,16578,18160,19884,21335,22746,24472,26097,26471,27093,27482,27716,28024,28729,29435,29586,30097,30643,30906,30927,31317,31884,32775,33886,35108,36313,36943,37348,37619,38055,38446,38331,38506,38772,39334,39992,40867,41491,41519,41561,41511,41347,41082,40984,40884,41136,41139,41316,41619
 "05005","Baxter, AR",5,CAINC1,3,"...","Per capita personal income (dollars) 2/","Dollars",2680,2940,3251,3436,3912,4319,4744,5223,5541,6249,6769,7920,9025,9679,10399,11062,11885,12792,12855,13411,14618,15139,15991,16785,17423,17789,18558,19181,20146,21345,21466,22210,22842,23529,23875,24666,25872,27684,29110,29412,28648,28926,29997,31950,31721,33821,34301,34516,35617,37106
